13.79	34.42
13.79	34.35
13.82	34.28
13.76	34.08
13.76	34.08
13.78	34.01
13.76	33.92
13.78	33.86
13.77	33.77
13.76	33.7
13.79	33.61
13.77	33.54
13.78	33.47
13.79	33.38
13.78	33.29
13.82	33.24
13.81	33.13
13.83	33.05
13.84	32.97
13.88	32.88
13.9	32.81
13.9	32.74
13.9	32.63
13.91	32.57
13.89	32.46
13.89	32.38
13.91	32.31
13.89	32.22
13.89	32.17
13.91	32.08
13.89	31.97
13.9	31.91
13.9	31.83
13.91	31.75
13.95	31.68
13.95	31.58
13.97	31.52
13.99	31.42
13.99	31.32
14	31.25
14	31.16
13.99	31.08
14.01	31
13.99	30.91
14.05	30.86
14.09	30.77
14.1	30.67
14.14	30.62
14.14	30.52
14.14	30.45
14.16	30.37
14.15	30.27
14.16	30.18
14.19	30.11
14.18	30.01
14.2	29.94
14.21	29.85
14.22	29.78
14.23	29.68
14.22	29.59
14.24	29.55
14.25	29.43
14.25	29.36
14.28	29.3
14.26	29.2
14.28	29.13
14.3	29.05
14.28	28.94
14.28	28.89
14.31	28.81
14.31	28.71
14.35	28.66
14.38	28.57
14.4	28.51
14.42	28.42
14.42	28.32
14.42	28.26
14.43	28.15
14.45	28.08
14.49	28.02
14.53	27.91
14.55	27.85
14.59	27.77
14.59	27.68
14.62	27.64
14.6	27.54
14.58	27.46
14.61	27.4
14.63	27.3
14.63	27.23
14.66	27.16
14.67	27.07
14.67	27
14.71	26.9
14.67	26.82
14.67	26.76
14.67	26.65
14.68	26.59
14.71	26.5
14.71	26.41
14.72	26.36
14.76	26.26
14.73	26.19
14.76	26.14
14.75	26.03
14.76	25.98
14.8	25.9
14.8	25.79
14.81	25.74
14.88	25.64
14.87	25.56
14.92	25.52
14.87	25.39
14.85	25.33
14.86	25.25
14.89	25.16
14.92	25.12
14.96	25
14.96	24.91
15.01	24.88
14.99	24.76
14.98	24.7
15.02	24.64
14.97	24.55
14.99	24.5
15	24.39
15.01	24.31
15.04	24.25
15.04	24.14
15.04	24.07
15.05	24
15.04	23.92
15.06	23.86
15.05	23.75
15.06	23.68
15.08	23.62
15.07	23.51
15.09	23.43
15.12	23.38
15.11	23.28
15.13	23.22
15.15	23.13
15.11	23.04
15.1	22.98
15.11	22.89
15.1	22.8
15.13	22.74
15.13	22.65
15.13	22.6
15.13	22.49
15.12	22.41
15.12	22.37
15.12	22.26
15.12	22.2
15.13	22.15
15.14	22.02
15.16	21.98
15.16	21.9
15.16	21.86
15.17	21.77
15.18	21.65
15.17	21.59
15.15	21.52
15.14	21.42
15.15	21.35
15.16	21.24
15.18	21.18
15.2	21.11
15.25	21
15.3	20.95
15.32	20.87
15.34	20.79
15.34	20.74
15.34	20.63
15.33	20.57
15.34	20.49
15.35	20.37
15.4	20.33
15.43	20.23
15.43	20.17
15.45	20.09
15.45	19.99
15.43	19.95
15.41	19.89
15.39	19.78
15.37	19.73
15.35	19.63
15.35	19.55
15.35	19.48
15.37	19.39
15.38	19.35
15.37	19.25
15.37	19.12
15.39	19.09
15.4	18.98
15.4	18.91
15.42	18.86
15.43	18.71
15.46	18.66
15.49	18.6
15.48	18.5
15.52	18.46
15.54	18.4
15.51	18.3
15.51	18.27
15.5	18.18
15.49	18.11
15.5	18.05
15.5	17.92
15.51	17.87
15.51	17.82
15.51	17.71
15.53	17.66
15.52	17.56
15.59	17.52
15.61	17.46
15.61	17.35
15.64	17.3
15.65	17.23
15.69	17.13
15.7	17.09
15.7	16.98
15.7	16.92
15.69	16.88
15.64	16.77
15.65	16.72
15.66	16.66
15.66	16.54
15.69	16.5
15.72	16.4
15.73	16.34
15.73	16.28
15.72	16.17
15.72	16.12
15.69	16.04
15.69	15.93
15.7	15.9
15.72	15.79
15.72	15.72
15.72	15.67
15.74	15.55
15.8	15.5
15.84	15.41
15.89	15.26
15.88	15.21
15.88	15.12
15.9	15.07
15.89	14.98
15.94	14.86
15.96	14.82
15.98	14.73
16	14.61
16	14.58
16.02	14.48
16.01	14.44
15.96	14.38
15.9	14.26
15.91	14.21
15.9	14.12
15.91	14.03
15.92	13.99
15.93	13.91
15.95	13.87
15.95	13.82
15.98	13.72
16.05	13.69
16.01	13.66
15.97	13.61
15.95	13.59
15.92	13.53
15.9	13.48
15.89	13.46
15.86	13.4
15.85	13.37
15.83	13.31
15.83	13.25
15.84	13.23
15.83	13.16
15.83	13.09
15.82	13.07
15.82	13.05
15.82	13.04
15.82	13.02
15.79	12.95
15.76	12.89
15.73	12.86
15.7	12.84
15.69	12.83
15.68	12.82
15.67	12.81
15.66	12.8
15.65	12.78
15.65	12.78
15.62	12.73
15.62	12.72
15.6	12.71
15.58	12.66
15.59	12.62
15.57	12.61
15.56	12.57
15.57	12.52
15.55	12.45
15.54	12.37
15.53	12.3
15.54	12.27
15.56	12.24
15.57	12.23
15.53	12.22
15.53	12.21
15.52	12.2
15.53	12.22
15.53	12.21
15.54	12.2
15.54	12.21
15.55	12.2
15.52	12.16
15.43	12.06
15.57	11.57
15.53	11.51
